airconditioningtypeid,basementsqft,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedbathnbr,calculatedfinishedsquarefeet,finishedsquarefeet12,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,propertycountylandusecode,propertylandusetypeid,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,threequarterbathnbr,unitcnt,yearbuilt,numberofstories,assessmentyear,taxdelinquencyflag,censustractandblock,taxvaluedollarcnt
0.0,0.0,3.5,4.0,8.0,3.5,3100.0,3100.0,0.0,3.0,2.0,633.0,0,2.0,33634931.0,-117869207.0,4506.0,0.0,41,261.0,53571.0,1286.0,27080.0,96978.0,0.0,1.0,1.0,1998.0,1.0,2016.0,0,60590630072012.0,1023282.0
0.0,0.0,1.0,2.0,8.0,1.0,1465.0,1465.0,1.0,1.0,1.0,0.0,0,2.0,34449266.0,-119281531.0,12647.0,0.0,33,261.0,13091.0,2061.0,27080.0,97099.0,5.0,0.0,1.0,1967.0,1.0,2016.0,0,61110010023006.0,464000.0
0.0,0.0,2.0,3.0,8.0,2.0,1243.0,1243.0,0.0,2.0,2.0,440.0,0,2.0,33886168.0,-117823170.0,8432.0,1.0,41,261.0,21412.0,1286.0,27080.0,97078.0,6.0,0.0,1.0,1962.0,1.0,2016.0,0,60590218022012.0,564778.0
0.0,0.0,3.0,4.0,8.0,3.0,2376.0,2376.0,0.0,3.0,0.0,0.0,0,2.0,34245180.0,-118240722.0,13038.0,1.0,1,261.0,396551.0,3101.0,27080.0,96330.0,0.0,0.0,1.0,1970.0,1.0,2016.0,0,60373001001006.0,145143.0
1.0,0.0,3.0,3.0,8.0,3.0,1312.0,1312.0,0.0,3.0,0.0,0.0,0,2.0,34185120.0,-118414640.0,278581.0,1.0,8,266.0,12447.0,3101.0,268548.0,96451.0,0.0,0.0,1.0,1964.0,1.0,2016.0,0,60371236012000.0,119407.0
0.0,0.0,2.0,3.0,8.0,2.0,1492.0,1492.0,1.0,2.0,2.0,0.0,0,2.0,34230044.0,-118993991.0,903.0,0.0,40,266.0,51239.0,2061.0,27080.0,97091.0,6.0,0.0,2.0,1982.0,2.0,2016.0,0,61110053062009.0,331064.0
1.0,0.0,3.0,4.0,9.0,3.0,2962.0,2962.0,0.0,3.0,0.0,0.0,0,2.0,34145202.0,-118179824.0,63000.0,1.0,1,261.0,47019.0,3101.0,274684.0,96293.0,0.0,0.0,1.0,1950.0,1.0,2016.0,0,60374608001014.0,773303.0
0.0,0.0,1.0,2.0,5.0,1.0,738.0,738.0,0.0,1.0,0.0,0.0,0,2.0,34149214.0,-118239357.0,4214.0,0.0,0,261.0,45457.0,3101.0,276258.0,96325.0,0.0,0.0,1.0,1922.0,1.0,2016.0,0,60373020041001.0,218552.0
0.0,0.0,3.0,4.0,9.0,3.0,3039.0,3039.0,0.0,3.0,0.0,0.0,0,2.0,33960230.0,-118006914.0,20028.0,0.0,0,261.0,14634.0,3101.0,27080.0,96173.0,0.0,0.0,1.0,1970.0,1.0,2016.0,0,60375002024006.0,220583.0
0.0,0.0,3.0,2.0,8.0,3.0,1290.0,1290.0,0.0,3.0,0.0,0.0,0,2.0,33998800.0,-118416000.0,54048.0,1.0,8,266.0,12447.0,3101.0,403184.0,96047.0,0.0,0.0,1.0,1980.0,1.0,2016.0,0,60372751022006.0,371361.0
1.0,0.0,3.0,4.0,8.0,3.0,2540.0,2540.0,0.0,3.0,0.0,0.0,0,2.0,34434971.0,-118464390.0,10384.0,1.0,1,261.0,54311.0,3101.0,37739.0,96374.0,0.0,0.0,1.0,1999.0,1.0,2016.0,0,60379200341014.0,430108.0
0.0,0.0,2.5,3.0,8.0,2.5,1337.0,1337.0,0.0,2.0,1.0,0.0,0,2.0,33663700.0,-117997000.0,9999.0,0.0,42,266.0,25218.0,1286.0,27080.0,96966.0,0.0,1.0,1.0,1989.0,1.0,2016.0,0,60590993064001.0,582011.0
13.0,0.0,2.5,3.0,8.0,2.5,1340.0,1340.0,1.0,2.0,2.0,420.0,0,2.0,33771438.0,-117982834.0,1199.0,0.0,41,261.0,24832.0,1286.0,27080.0,97051.0,6.0,1.0,2.0,1980.0,2.0,2016.0,0,60590888014006.0,319668.0
0.0,0.0,2.0,2.0,8.0,2.0,970.0,970.0,0.0,2.0,1.0,0.0,0,2.0,33715600.0,-117926000.0,7260.0,0.0,42,266.0,8384.0,1286.0,27080.0,97008.0,0.0,0.0,1.0,1989.0,1.0,2016.0,0,60590992293006.0,132425.0
0.0,0.0,2.5,3.0,8.0,2.5,1371.0,1371.0,0.0,2.0,2.0,447.0,0,2.0,34238229.0,-119170633.0,3445.0,0.0,34,261.0,13150.0,2061.0,27080.0,97107.0,5.0,1.0,2.0,2004.0,2.0,2016.0,0,61110050041163.0,198054.0
13.0,0.0,2.0,4.0,8.0,2.0,1677.0,1677.0,0.0,2.0,2.0,420.0,0,2.0,33642800.0,-117707211.0,5304.0,0.0,41,261.0,32380.0,1286.0,27080.0,96962.0,8.0,0.0,1.0,1981.0,1.0,2016.0,0,60590524081002.0,528847.0
1.0,0.0,3.0,3.0,8.0,3.0,1435.0,1435.0,0.0,3.0,0.0,0.0,0,2.0,34212400.0,-118238000.0,45171.0,0.0,8,266.0,45457.0,3101.0,274582.0,96275.0,0.0,0.0,1.0,1981.0,1.0,2016.0,0,60373006003007.0,259197.0
0.0,0.0,1.0,2.0,4.0,1.0,1146.0,1146.0,0.0,1.0,0.0,0.0,0,7.0,34024040.0,-118159090.0,4657.0,0.0,0,261.0,17882.0,3101.0,27080.0,96003.0,0.0,0.0,1.0,1939.0,1.0,2016.0,0,60375316041001.0,273745.0
1.0,0.0,2.0,3.0,6.0,2.0,1092.0,1092.0,0.0,2.0,0.0,0.0,0,2.0,33897676.0,-118169106.0,36005.0,0.0,8,266.0,6395.0,3101.0,27080.0,96220.0,0.0,0.0,1.0,1979.0,1.0,2016.0,1,60375536011007.0,178646.0
0.0,0.0,2.5,3.0,8.0,2.5,2074.0,2074.0,1.0,2.0,2.0,485.0,0,2.0,33586693.0,-117697202.0,5600.0,0.0,41,261.0,25458.0,1286.0,27080.0,96971.0,7.0,1.0,2.0,1978.0,2.0,2016.0,0,60590423273002.0,597213.0
0.0,0.0,2.5,3.0,8.0,2.5,2018.0,2018.0,0.0,2.0,2.0,446.0,0,2.0,33728985.0,-117754647.0,2800.0,0.0,41,261.0,52650.0,1286.0,274815.0,96954.0,0.0,1.0,1.0,1998.0,1.0,2016.0,0,60590524201100.0,534612.0
0.0,0.0,1.0,2.0,5.0,1.0,1316.0,1316.0,0.0,1.0,0.0,0.0,0,2.0,34009471.0,-118281052.0,5091.0,0.0,0,261.0,12447.0,3101.0,268496.0,96018.0,0.0,0.0,1.0,1908.0,1.0,2016.0,1,60372317202003.0,171838.0
1.0,0.0,3.0,2.0,9.0,3.0,2126.0,2126.0,0.0,3.0,0.0,0.0,0,2.0,34074859.0,-118563050.0,221601.0,0.0,8,266.0,12447.0,3101.0,19810.0,96120.0,0.0,0.0,1.0,1983.0,1.0,2016.0,0,60372626011002.0,573247.0
